Field name,Reservoir unit,Country,Region,Tectonic regime,Onshore/offshore,Hydrocarbon type,Productive area,Period,Depositional system,Depositional environment,Lithology,Porosity type,Gross,Netpay,Porosity,Permeability,Structural setting,Trapping mechanism,Depth
ALABAMA FERRY,UPPER GLEN ROSE D ZONE,USA,NORTH AMERICA,GRAVITY,ONSHORE,OIL,98800.0,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,MOLDIC,29.0,4.6,12.0,20.0,PASSIVE MARGIN,DEPOSITIONAL,2652.4
ALBA,ALBA,UK,EUROPE,EXTENSION,OFFSHORE,OIL,8398.0,PALEOGENE,DEEP MARINE,SLOPE APRON,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,91.5,82.3,35.0,3500.0,RIFT,EROSIONAL,1720.1
ALBACORA,CARAPEBUS,BRAZIL,LATIN AMERICA,GRAVITY,OFFSHORE,OIL,74100.0,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,,17.4,26.0,1000.0,SALT,DEPOSITIONAL,1585.4
ALBACORA,NAMORADO,BRAZIL,LATIN AMERICA,GRAVITY,OFFSHORE,OIL,18525.0,CRETACEOUS,DEEP MARINE,SUBMARINE FAN LOBE,SANDSTONE,PRIMARY INTERGRANULAR,,29.9,17.0,40.0,SALT,FOLD,2265.2
ALBION-SCIPIO,TRENTON-BLACK RIVER,USA,NORTH AMERICA,STRIKE-SLIP,ONSHORE,OIL,35654.45,ORDOVICIAN,LOW-ENERGY CARBONATE MUD,OPEN SHELF,DOLOMITE,INTERCRYSTALLINE,182.9,122.0,4.0,10.0,INTRACRATONIC,DIAGENETIC,1158.5
ALBUSKJELL,TOR,NORWAY,EUROPE,INVERSION,OFFSHORE,GAS-CONDENSATE,15314.0,CRETACEOUS,FORESLOPE,DEBRIS-FLOW,CHALK,INTERPARTICLE MICROPOROSITY,300.0,,21.0,,SALT,FOLD,3122.6
ALGYO,UPPER PANNONIAN,HUNGARY,EUROPE,INVERSION,ONSHORE,OIL,48906.00000000001,NEOGENE,LACUSTRINE,LACUSTRINE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,396.3,,25.0,500.0,BACKARC,FOLD,1780.5
ALIBEKMOLA,KT I,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,29640.0,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,INTERPARTICLE,91.5,32.0,10.0,20.0,SUB-SALT,FOLD,1829.3
ALIBEKMOLA,KT II,KAZAKHSTAN,FORMER SOVIET UNION,COMPRESSION,ONSHORE,OIL,29640.0,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,SHELF-,LIMESTONE,INTERPARTICLE,185.1,32.9,10.0,20.0,SUB-SALT,FOLD,2920.7
ALPINE,ALPINE,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,98800.0,JURASSIC,COASTAL,SHORELINE,SANDSTONE,PRIMARY INTERGRANULAR,15.2,14.9,20.0,15.0,FORELAND,DEPOSITIONAL,2012.2
ALTAMONT-BLUEBELL,GREEN RIVER AND COLTON/WASATCH,USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,553280.0,PALEOGENE,LACUSTRINE,LACUSTRINE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,2439.0,175.3,5.0,0.1,FORELAND,DEPOSITIONAL,4649.4
ALWYN NORTH,BRENT (BRENT EAST),UK,EUROPE,INVERSION,OFFSHORE,OIL,4940.0,JURASSIC,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,270.1,104.9,17.0,500.0,RIFT,EROSIONAL,2984.8
ALWYN NORTH,STATFJORD,UK,EUROPE,EXTENSION,OFFSHORE,GAS-CONDENSATE,7904.000000000001,TRIASSIC-JURASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,264.9,156.1,13.5,330.0,RIFT,EROSIONAL,3214.9
AMAL,AMAL,LIBYA,AFRICA,EXTENSION,ONSHORE,OIL,387790.00000000006,CAMBRIAN-TRIASSIC,FLUVIAL,BRAIDED RIVER,SANDSTONE,PRIMARY INTERGRANULAR,,,12.5,0.6,RIFT,FAULT,2943.6
AMPOSTA MARINO,MONTSIA,SPAIN,EUROPE,EXTENSION,OFFSHORE,OIL,4940.0,CRETACEOUS,LOW-ENERGY CARBONATE MUD,RESTRICTED SHELF,LIMESTONE,FRACTURE/CAVERNOUS,,150.0,2.0,1.0,RIFT,EROSIONAL,1628.0
ANASAZI,PARADOX (DESERT CREEK),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,407.55,CARBONIFEROUS,ORGANIC BUILDUP,REEF MOUND,DOLOMITE,SHELTER,24.4,14.0,14.0,15.0,INTRACRATONIC,DEPOSITIONAL,1699.7
ANDREW,LISTA (ANDREW SANDSTONE),UK,EUROPE,INVERSION,OFFSHORE,OIL,16477.37,PALEOGENE,DEEP MARINE,SUBMARINE FAN CHANNEL,SANDSTONE,PRIMARY INTERGRANULAR,164.9,111.9,20.0,200.0,SALT,FOLD,2315.5
ANETH,PARADOX (DESERT CREEK),USA,NORTH AMERICA,COMPRESSION,ONSHORE,OIL,118560.0,CARBONIFEROUS,ORGANIC BUILDUP,REEF MOUND,DOLOMITE,SHELTER/MOLDIC,30.5,15.2,10.0,15.0,INTRACRATONIC,DEPOSITIONAL,1667.7
ANGUILLE MARINE,ANGUILLE,GABON,AFRICA,GRAVITY,OFFSHORE,OIL,18278.0,CRETACEOUS,DEEP MARINE,SLOPE APRON,THINLY-BEDDED SANDSTONE,PRIMARY INTERGRANULAR,250.0,,19.0,60.0,SALT,FOLD,2250.6
ANGUS,ANGUS SAND,UK,EUROPE,EXTENSION,OFFSHORE,OIL,2470.0,JURASSIC,COASTAL,SHOREFACE-SHELF,SANDSTONE,PRIMARY INTERGRANULAR,30.5,18.3,18.0,3000.0,RIFT,EROSIONAL,3088.4
ANKLESHWAR,ANKLESHWAR (HAZAD-ARDOL),INDIA,FAR EAST,STRIKE-SLIP,ONSHORE,OIL,18278.0,PALEOGENE,COASTAL,MIXED-INFLUENCE DELTA,SANDSTONE,PRIMARY INTERGRANULAR,204.3,0.0,21.0,250.0,WRENCH,FOLD,899.4
