Field name,Reservoir unit,Country,Region,Tectonic regime,Hydrocarbon type,Period,Depositional system,Lithology,Trapping mechanism,Structural setting,Gross,Netpay,Porosity,Permeability,Depth
ANTRIM SHALE,ANTRIM SHALE (NORWOOD-LACHINE),USA,NORTH AMERICA,STRIKE-SLIP,GAS,DEVONIAN,DEEP MARINE,SHALE,DIAGENETIC,INTRACRATONIC,30.5,24.4,4.0,10.0,152.4
ARDJUNA-B,CIBULAKAN,INDONESIA,FAR EAST,INVERSION,OIL,NEOGENE,COASTAL,LOW-RESISTIVITY SANDSTONE,FAULT,BACKARC,364.9,80.2,26.0,300.0,704.3
ARLAN,KASHIRA-PODOL,RUSSIA,FORMER SOVIET UNION,COMPRESSION,OIL,CARBONIFEROUS,HIGH-ENERGY CARBONATE SAND,DOLOMITIC LIMESTONE,FOLD,FORELAND,43.0,7.9,19.0,24.0,841.5
ARUN,ARUN LIMESTONE (PEUTU),INDONESIA,FAR EAST,STRIKE-SLIP,GAS-CONDENSATE,NEOGENE,ORGANIC BUILDUP,LIMESTONE,DEPOSITIONAL,BACKARC,234.8,152.4,16.0,13.5,2884.1
ASAB,THAMAMA ZONE B-C,UAE,MIDDLE EAST,COMPRESSION,OIL,CRETACEOUS,HIGH-ENERGY CARBONATE SAND,LIMESTONE,FOLD,SALT,83.5,76.2,30.0,20.0,2393.3
ASHTART,EL GARIA,TUNISIA,AFRICA,EXTENSION,OIL,PALEOGENE,HIGH-ENERGY CARBONATE SAND,LIMESTONE,DEPOSITIONAL,RIFT,89.9,75.0,17.2,42.0,2682.9
ATHABASCA,MCMURRAY-WABISKAW,CANADA,NORTH AMERICA,COMPRESSION,BITUMEN,CRETACEOUS,COASTAL,LOW-RESISTIVITY SANDSTONE,DIAGENETIC,FORELAND,67.1,15.2,35.0,7000.0,0.0
AUGER,S SAND,USA,NORTH AMERICA,GRAVITY,OIL,NEOGENE,DEEP MARINE,THINLY-BEDDED SANDSTONE,EROSIONAL,DELTA,61.0,51.8,24.0,150.0,4829.3
AUK,ROTLIEGEND (AUK),UK,EUROPE,EXTENSION,OIL,PERMIAN,DESERT,SANDSTONE,EROSIONAL,RIFT,298.8,256.1,19.0,5.0,2147.6
AUK,ZECHSTEIN (HALIBUT),UK,EUROPE,EXTENSION,OIL,PERMIAN,LOW-ENERGY CARBONATE MUD,DOLOMITE,EROSIONAL,RIFT,9.1,9.1,13.0,53.0,2147.6
